SoilMoistureSystemID,SensorID,Timestamp,Location,SoilMoisture(%)
SMS001,Sensor10cm,2023-08-22 17:55:04.095252,"-33.004658, 120.990946",9.39
SMS001,Sensor20cm,2023-08-22 17:55:04.095252,"-33.004658, 120.990946",8.81
SMS001,Sensor30cm,2023-08-22 17:55:04.095252,"-33.004658, 120.990946",10.19
SMS001,Sensor10cm,2023-08-23 01:55:04.095252,"-33.004658, 120.990946",6.28
SMS001,Sensor20cm,2023-08-23 01:55:04.095252,"-33.004658, 120.990946",9.44
SMS001,Sensor30cm,2023-08-23 01:55:04.095252,"-33.004658, 120.990946",11.66
SMS001,Sensor10cm,2023-08-23 17:55:04.095252,"-33.004658, 120.990946",6.51
SMS001,Sensor20cm,2023-08-23 17:55:04.095252,"-33.004658, 120.990946",7.56
SMS001,Sensor30cm,2023-08-23 17:55:04.095252,"-33.004658, 120.990946",9.97
SMS001,Sensor10cm,2023-08-24 01:55:04.095252,"-33.004658, 120.990946",8.09
SMS001,Sensor20cm,2023-08-24 01:55:04.095252,"-33.004658, 120.990946",7.17
SMS001,Sensor30cm,2023-08-24 01:55:04.095252,"-33.004658, 120.990946",8.13
SMS001,Sensor10cm,2023-08-24 17:55:04.095252,"-33.004658, 120.990946",9.72
SMS001,Sensor20cm,2023-08-24 17:55:04.095252,"-33.004658, 120.990946",9.55
SMS001,Sensor30cm,2023-08-24 17:55:04.095252,"-33.004658, 120.990946",11.74
SMS001,Sensor10cm,2023-08-25 01:55:04.095252,"-33.004658, 120.990946",7.07
SMS001,Sensor20cm,2023-08-25 01:55:04.095252,"-33.004658, 120.990946",9.08
SMS001,Sensor30cm,2023-08-25 01:55:04.095252,"-33.004658, 120.990946",10.53
SMS001,Sensor10cm,2023-08-25 17:55:04.095252,"-33.004658, 120.990946",8.21
SMS001,Sensor20cm,2023-08-25 17:55:04.095252,"-33.004658, 120.990946",10.25
SMS001,Sensor30cm,2023-08-25 17:55:04.095252,"-33.004658, 120.990946",11.09
SMS001,Sensor10cm,2023-08-26 01:55:04.095252,"-33.004658, 120.990946",7.54
SMS001,Sensor20cm,2023-08-26 01:55:04.095252,"-33.004658, 120.990946",9.56
SMS001,Sensor30cm,2023-08-26 01:55:04.095252,"-33.004658, 120.990946",10.82
SMS001,Sensor10cm,2023-08-26 17:55:04.095252,"-33.004658, 120.990946",9.28
SMS001,Sensor20cm,2023-08-26 17:55:04.095252,"-33.004658, 120.990946",7.69
SMS001,Sensor30cm,2023-08-26 17:55:04.095252,"-33.004658, 120.990946",10.18
SMS001,Sensor10cm,2023-08-27 01:55:04.095252,"-33.004658, 120.990946",9.34
SMS001,Sensor20cm,2023-08-27 01:55:04.095252,"-33.004658, 120.990946",7.74
SMS001,Sensor30cm,2023-08-27 01:55:04.095252,"-33.004658, 120.990946",8.79
SMS001,Sensor10cm,2023-08-27 17:55:04.095252,"-33.004658, 120.990946",6.48
SMS001,Sensor20cm,2023-08-27 17:55:04.095252,"-33.004658, 120.990946",7.36
SMS001,Sensor30cm,2023-08-27 17:55:04.095252,"-33.004658, 120.990946",10.3
SMS001,Sensor10cm,2023-08-28 01:55:04.095252,"-33.004658, 120.990946",5.85
SMS001,Sensor20cm,2023-08-28 01:55:04.095252,"-33.004658, 120.990946",7.18
SMS001,Sensor30cm,2023-08-28 01:55:04.095252,"-33.004658, 120.990946",8.92
SMS001,Sensor10cm,2023-08-28 17:55:04.095252,"-33.004658, 120.990946",7.19
SMS001,Sensor20cm,2023-08-28 17:55:04.095252,"-33.004658, 120.990946",8.75
SMS001,Sensor30cm,2023-08-28 17:55:04.095252,"-33.004658, 120.990946",10.29
SMS001,Sensor10cm,2023-08-29 01:55:04.095252,"-33.004658, 120.990946",9.04
SMS001,Sensor20cm,2023-08-29 01:55:04.095252,"-33.004658, 120.990946",10.44
SMS001,Sensor30cm,2023-08-29 01:55:04.095252,"-33.004658, 120.990946",9.88
SMS001,Sensor10cm,2023-08-29 17:55:04.095252,"-33.004658, 120.990946",8.93
SMS001,Sensor20cm,2023-08-29 17:55:04.095252,"-33.004658, 120.990946",9.84
SMS001,Sensor30cm,2023-08-29 17:55:04.095252,"-33.004658, 120.990946",11.09
SMS001,Sensor10cm,2023-08-30 01:55:04.095252,"-33.004658, 120.990946",6.73
SMS001,Sensor20cm,2023-08-30 01:55:04.095252,"-33.004658, 120.990946",9.21
SMS001,Sensor30cm,2023-08-30 01:55:04.095252,"-33.004658, 120.990946",10.17
SMS001,Sensor10cm,2023-08-30 17:55:04.095252,"-33.004658, 120.990946",5.5
SMS001,Sensor20cm,2023-08-30 17:55:04.095252,"-33.004658, 120.990946",6.57
SMS001,Sensor30cm,2023-08-30 17:55:04.095252,"-33.004658, 120.990946",8.15
SMS001,Sensor10cm,2023-08-31 01:55:04.095252,"-33.004658, 120.990946",6.55
SMS001,Sensor20cm,2023-08-31 01:55:04.095252,"-33.004658, 120.990946",7.16
SMS001,Sensor30cm,2023-08-31 01:55:04.095252,"-33.004658, 120.990946",11.01
SMS001,Sensor10cm,2023-08-31 17:55:04.095252,"-33.004658, 120.990946",7.73
SMS001,Sensor20cm,2023-08-31 17:55:04.095252,"-33.004658, 120.990946",6.99
SMS001,Sensor30cm,2023-08-31 17:55:04.095252,"-33.004658, 120.990946",8.35
SMS001,Sensor10cm,2023-09-01 01:55:04.095252,"-33.004658, 120.990946",8.33
SMS001,Sensor20cm,2023-09-01 01:55:04.095252,"-33.004658, 120.990946",8.08
SMS001,Sensor30cm,2023-09-01 01:55:04.095252,"-33.004658, 120.990946",9.74
SMS001,Sensor10cm,2023-09-01 17:55:04.095252,"-33.004658, 120.990946",8.83
SMS001,Sensor20cm,2023-09-01 17:55:04.095252,"-33.004658, 120.990946",6.58
SMS001,Sensor30cm,2023-09-01 17:55:04.095252,"-33.004658, 120.990946",7.94
SMS001,Sensor10cm,2023-09-02 01:55:04.095252,"-33.004658, 120.990946",7.95
SMS001,Sensor20cm,2023-09-02 01:55:04.095252,"-33.004658, 120.990946",7.55
SMS001,Sensor30cm,2023-09-02 01:55:04.095252,"-33.004658, 120.990946",8.3
SMS001,Sensor10cm,2023-09-02 17:55:04.095252,"-33.004658, 120.990946",7.18
SMS001,Sensor20cm,2023-09-02 17:55:04.095252,"-33.004658, 120.990946",6.21
SMS001,Sensor30cm,2023-09-02 17:55:04.095252,"-33.004658, 120.990946",7.38
